width,dataset,codec,rows,block_size,chunks,encoded_bytes,ratio,encode_ms,decode_ms,gather_uniform_ms,gather_uniform_chunks,gather_uniform_rows,gather_clustered_ms,gather_clustered_chunks,gather_clustered_rows,point_ms,point_count,plan
64,increasing,RAW64,1048576,8192,128,8388608,1,1.42249,1.21541,0.015955,128,4096,0.028185,91,11089,0.001262,256,"RAW64"
64,increasing,SIS64_HALVES,1048576,8192,128,2931352,2.86169,211.169,3.1242,1.24239,128,4096,0.89084,91,11089,2.32238,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) BP  -> ([32-63] section) ONE_VALUE"
64,increasing,SIS64_PLANNED,1048576,8192,128,1008040,8.3217,7536.11,4.05338,1.40384,128,4096,1.04958,91,11089,2.93208,256,"SUB_INT_SPLIT_64[0-5;6-11;12-31;32-63]  -> ([0-5] section) BP  -> ([6-11] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([12-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([32-63] section) ONE_VALUE"
64,tweet_ids,RAW64,1048576,8192,128,8388608,1,1.42653,1.1616,0.015481,128,4096,0.026387,91,11089,0.001178,256,"RAW64"
64,tweet_ids,SIS64_HALVES,1048576,8192,128,7707864,1.08832,859.5,2.71163,1.27837,128,4096,0.888537,91,11089,2.06031,256,"SUB_INT_SPLIT_64[0-31;32-63]  -> ([0-31] section) UNCOMPRESSED  -> ([32-63] section) BP"
64,tweet_ids,SIS64_PLANNED,1048576,8192,128,5375546,1.56051,13890.3,9.05623,4.98616,128,4096,3.97089,91,11089,9.71783,256,"SUB_INT_SPLIT_64[0-3;4-11;12-17;18-21;22-49;50-54;55-63]  -> ([0-3] section) BP  -> ([4-11] section) BP  -> ([12-17] section) DICT -> ([int] codes) BP  -> ([18-21] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([22-49] section) BP  -> ([50-54] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP  -> ([55-63] section) RLE  -> ([valueType] values) BP  -> ([int] counts) BP"
32,snowflake,UNCOMPRESSED,1048576,65536,16,4194496,0.999954,316.95,0.781799,0.076396,16,4096,0.140514,16,11089,0.085221,256,"UNCOMPRESSED"
32,snowflake,BP,1048576,65536,16,3772096,1.11193,313.548,1.42361,1.16842,16,4096,1.08393,16,11089,14.1351,256,"BP"
32,snowflake,PFOR,1048576,65536,16,3747968,1.11909,319.122,0.749354,0.483984,16,4096,0.504265,16,11089,5.70849,256,"PFOR"
32,snowflake,DICT,1048576,65536,16,4194496,0.999954,745.883,0.715894,0.077632,16,4096,0.141326,16,11089,0.085492,256,"UNCOMPRESSED"
32,snowflake,RLE,1048576,65536,16,3772960,1.11167,632.38,3.85181,3.16122,16,4096,3.00926,16,11089,51.6456,256,"RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,AUTO_BASELINE,1048576,65536,16,3772096,1.11193,319.107,1.11758,0.840932,16,4096,0.891892,16,11089,13.2924,256,"BP"
32,snowflake,AUTO_WITH_SIS,1048576,65536,16,1020068,4.11179,1081.05,2.73801,1.6018,16,4096,1.58837,16,11089,24.4962,256,"SUB_INT_SPLIT[0-10;11-18;19-31]  -> ([0-10] section) DICT -> ([int] codes) BP  -> ([11-18] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([19-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,SIS_HALVES,1048576,65536,16,1594360,2.63071,1081.43,2.73838,1.59905,16,4096,1.68033,16,11089,24.3509,256,"SUB_INT_SPLIT[0-15;16-31]  -> ([0-15] section) DICT -> ([int] codes) BP  -> ([16-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,SIS_PLANNED,1048576,65536,16,1020068,4.11179,1063.3,2.8597,1.58467,16,4096,1.58087,16,11089,24.4449,256,"SUB_INT_SPLIT[0-10;11-18;19-31]  -> ([0-10] section) DICT -> ([int] codes) BP  -> ([11-18] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([19-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,uniform,UNCOMPRESSED,1048576,65536,16,4194496,0.999954,819.664,0.707805,0.075034,16,4096,0.13165,16,11089,0.075687,256,"UNCOMPRESSED"
32,uniform,BP,1048576,65536,16,4194496,0.999954,783.81,0.731947,0.069624,16,4096,0.13743,16,11089,0.075365,256,"UNCOMPRESSED"
32,uniform,PFOR,1048576,65536,16,4194496,0.999954,837.647,0.809108,0.088426,16,4096,0.185042,16,11089,0.093869,256,"UNCOMPRESSED"
32,uniform,DICT,1048576,65536,16,4194496,0.999954,1970.32,0.588509,0.061636,16,4096,0.119793,16,11089,0.066724,256,"UNCOMPRESSED"
32,uniform,RLE,1048576,65536,16,4194496,0.999954,1572.17,0.848665,0.087101,16,4096,0.165852,16,11089,0.097365,256,"UNCOMPRESSED"
32,uniform,AUTO_BASELINE,1048576,65536,16,4194496,0.999954,751.363,0.597964,0.065657,16,4096,0.129247,16,11089,0.070565,256,"UNCOMPRESSED"
32,uniform,AUTO_WITH_SIS,1048576,65536,16,4194496,0.999954,919.455,0.565696,0.066418,16,4096,0.118483,16,11089,0.06576,256,"UNCOMPRESSED"
32,uniform,SIS_HALVES,1048576,65536,16,4194496,0.999954,2022.69,0.624384,0.063827,16,4096,0.115111,16,11089,0.066914,256,"UNCOMPRESSED"
32,uniform,SIS_PLANNED,1048576,65536,16,4194496,0.999954,1906.26,0.72895,0.078085,16,4096,0.141156,16,11089,0.098853,256,"UNCOMPRESSED"
32,increasing,UNCOMPRESSED,1048576,65536,16,4194496,0.999954,185.159,0.690136,0.079575,16,4096,0.151073,16,11089,0.090718,256,"UNCOMPRESSED"
32,increasing,BP,1048576,65536,16,2927128,1.43291,187.461,1.25304,0.872804,16,4096,0.889809,16,11089,13.1437,256,"BP"
32,increasing,PFOR,1048576,65536,16,2903040,1.4448,204.176,0.735467,0.446046,16,4096,0.570553,16,11089,5.83564,256,"PFOR"
32,increasing,DICT,1048576,65536,16,4194496,0.999954,574.162,0.717103,0.074486,16,4096,0.143855,16,11089,0.082002,256,"UNCOMPRESSED"
32,increasing,RLE,1048576,65536,16,2927992,1.43248,429.396,3.40464,3.42566,16,4096,3.63652,16,11089,52.3323,256,"RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,increasing,AUTO_BASELINE,1048576,65536,16,2927128,1.43291,190.111,1.00012,0.787345,16,4096,0.905783,16,11089,12.0391,256,"BP"
